function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_pthread_atfork	c:@F@p101_pthread_atfork	POSIX	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_atfork	c:@F@pthread_atfork
p101_pthread_attr_destroy	c:@F@p101_pthread_attr_destroy	POSIX	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_attr_destroy	c:@F@pthread_attr_destroy
p101_pthread_attr_getdetachstate	c:@F@p101_pthread_attr_getdetachstate	POSIX	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_attr_getdetachstate	c:@F@pthread_attr_getdetachstate
p101_pthread_attr_getguardsize	c:@F@p101_pthread_attr_getguardsize	POSIX	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_attr_getguardsize	c:@F@pthread_attr_getguardsize
p101_pthread_attr_getinheritsched	c:@F@p101_pthread_attr_getinheritsched	POSIX-optional	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_attr_getinheritsched	c:@F@pthread_attr_getinheritsched
p101_pthread_attr_getschedparam	c:@F@p101_pthread_attr_getschedparam	POSIX	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix/src/pthread.c	libraries/lib_posix/include/p101_posix/p101_pthread.h	yes	yes	yes	pthread_attr_getschedparam	c:@F@pthread_attr_getschedparam
p101_pthread_attr_getschedpolicy	c:@F@p101_pthread_attr_getschedpolicy	POSIX-optional	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_attr_getschedpolicy	c:@F@pthread_attr_getschedpolicy
p101_pthread_attr_getscope	c:@F@p101_pthread_attr_getscope	POSIX-optional	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_attr_getscope	c:@F@pthread_attr_getscope
p101_pthread_attr_getstack	c:@F@p101_pthread_attr_getstack	POSIX-optional	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_attr_getstack	c:@F@pthread_attr_getstack
p101_pthread_attr_getstacksize	c:@F@p101_pthread_attr_getstacksize	POSIX-optional	libraries/lib_thread/src/thread.c	libraries/lib_thread/include/p101_thread/thread.h	libraries/lib_posix_optional/src/pthread.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_pthread.h	yes	yes	yes	pthread_attr_getstacksize	c:@F@pthread_attr_getstacksize
